% Model,topology.mph
% Version,COMSOL 6.1.0.282
% Date,"Jul 11 2024, 11:02"
% Dimension,1
% Nodes,186
% Expressions,1
% Description,全局
% 解编号,频率
1,56.173225989263535
2,55.81381950334983
3,54.62413053947302
4,52.287735557544465
5,48.42403774189832
6,42.88468702089566
7,35.87293472437913
8,27.755627172059107
9,18.88502986722704
10,9.552149107300812
11,0
12,4.673461418301204
13,9.384241493415335
14,14.150144595442205
15,18.955339980979602
16,23.74217971298732
17,28.403403536133833
18,32.76388197528018
19,36.53634260849944
20,39.248576723654736
21,40.26938572326065
22,41.526669777771815
23,45.006534886501235
24,50.02727083325645
25,55.84507276966291
26,55.85083365286286
27,55.33074012145578
28,55.318878100503035
29,55.634977059460816
30,56.00923247292494
31,56.173225989263535
1,79.0867252283087
2,78.54713625429825
3,77.1045994737406
4,74.61569420848802
5,69.34041636494591
6,61.52751901414661
7,51.53487530919238
8,39.91322895804023
9,27.176763912448575
10,13.752229463565147
11,0
12,10.90643016418773
13,21.663193563460446
14,32.112899910320756
15,42.08171401206471
16,51.36859100174086
17,59.73170380057057
18,66.87315748562585
19,64.94864615519558
20,63.282570324910026
21,62.61213849721514
22,61.935759983666905
23,60.334189075119305
24,58.51170523947042
25,56.93713862578062
26,61.819499691410364
27,67.43161724152414
28,72.25988812401428
29,75.96529403293067
30,78.29398430649815
31,79.0867252283087
1,79.0940147928031
2,78.77564608559857
3,77.52737784520463
4,75.26252557551135
5,73.66328527682406
6,72.73275116023552
7,72.5049951856116
8,72.77377209559357
9,73.26217938302017
10,73.69775734415667
11,73.87003766637595
12,73.77814050973983
13,73.47791654945703
14,72.90659206074174
15,71.9909032515173
16,70.68125718515739
17,68.98426803688385
18,66.9958601390395
19,72.43134458796307
20,76.00379373207618
21,77.24241094128074
22,77.91198629569475
23,79.46555554806389
24,81.12399390541512
25,82.32623634563946
26,82.77881242360532
27,82.44622077304629
28,81.52819244685416
29,80.38824004839903
30,79.45412752510488
31,79.0940147928031
1,141.35181095416027
2,137.89657417358447
3,134.37975361764805
4,131.865775649013
5,130.89398761143826
6,131.40135015124065
7,132.8051692993078
8,134.42926830422485
9,135.79500612406915
10,136.66558032436154
11,136.95604709226183
12,137.06712002577336
13,137.39306450753347
14,137.90916561887715
15,138.5605200233925
16,139.22861940725005
17,139.65649579541125
18,139.43491054729867
19,138.53086596874417
20,137.59175582451115
21,137.2102172284235
22,137.27123464886418
23,137.457125194946
24,135.59499541216778
25,134.01618505822617
26,133.39609088428986
27,133.75498537698428
28,134.96831141646737
29,136.82962581095606
30,139.12301023137442
31,141.35181095416027
1,142.0866372613046
2,142.18744604268613
3,142.51884496780215
4,143.17728660516255
5,144.16800230992123
6,145.23276832947332
7,145.30372334564638
8,143.0193820785592
9,139.97685773759554
10,137.75804068050908
11,136.9671531987587
12,137.11124345849126
13,137.53243077727927
14,138.1951989766186
15,139.03671868560676
16,139.96875652937658
17,140.88902316737565
18,141.69971565640878
19,142.32439727451788
20,142.71482780895764
21,142.84722496436913
22,140.809979364722
23,137.965070728556
24,137.7757227683638
25,138.23695924355513
26,138.84654521835364
27,139.59313975010593
28,140.42762390475866
29,141.23962105739855
30,141.85414703388085
31,142.0866372613046
1,142.10009313052905
2,145.2942611375339
3,148.35066841003206
4,150.9447397632668
5,153.24067379242956
6,155.44354596804564
7,154.03591389255945
8,154.1572475196313
9,156.292319343045
10,159.09927921060753
11,161.2290765486501
12,159.8507316016839
13,157.42660728543996
14,154.7777821549865
15,152.105135396855
16,149.58889711970798
17,147.52933369025223
18,146.38005788776343
19,146.22992737827929
20,146.49758728844765
21,146.6476951693927
22,148.86917654206465
23,152.23510622035656
24,155.2080168196931
25,156.39723420953598
26,155.08037739772686
27,152.70237601331831
28,150.0217127936953
29,147.2487205074236
30,144.47634801344725
31,142.10009313052905
